date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2020-10-09,51,816,546,706,3186,356,134,99,104,2143,1717,111,461,191,1812,1187,469,679,582,500,391,7,862,471,1303,627,266,1065,202,293,14,666,119,502,779,849,749,212,734,112,748,267,1186,3593,261,963,0,245,876,164,54
2020-10-08,46,754,546,728,3186,369,128,100,101,2141,1742,109,449,191,1755,1110,393,701,564,484,403,7,862,457,1344,606,263,1051,214,288,14,652,109,498,754,863,697,197,687,117,716,284,1149,3556,251,933,1,256,907,168,56
2020-10-07,46,777,519,681,3204,343,138,103,89,2121,1770,115,444,151,1679,1081,352,672,552,515,391,9,687,367,,571,235,1028,116,262,18,601,110,495,748,814,738,197,657,107,707,273,1155,3519,233,1003,1,253,873,168,47
2020-10-06,45,764,523,665,3175,325,129,105,87,2151,1779,128,413,151,1673,1138,352,592,567,494,360,7,678,367,,554,216,1013,116,271,20,553,97,485,705,777,699,178,633,93,655,250,1115,3394,245,926,1,253,853,168,44
2020-10-05,45,791,516,567,3146,303,129,95,81,2118,1822,128,389,152,1631,1019,352,563,547,473,338,10,678,367,,554,201,971,112,249,22,507,91,441,636,657,655,184,594,92,593,241,975,3318,222,925,1,260,782,165,36
2020-10-04,51,757,499,545,3129,296,110,95,82,2040,1764,128,392,152,1521,950,352,600,518,438,320,11,678,,1137,515,191,907,100,249,23,480,95,442,618,694,655,176,603,92,599,232,900,3192,220,877,0,252,714,173,32
2020-10-03,39,738,474,605,3079,304,110,86,83,2037,1793,125,402,152,1535,911,352,600,536,416,323,11,678,,1137,515,189,921,100,232,17,485,89,442,647,702,655,176,573,94,686,215,989,3195,217,906,0,263,692,171,32
2020-10-02,41,752,473,586,3166,282,110,101,83,2056,1792,130,393,135,1678,963,352,578,536,421,323,11,678,340,1137,531,177,921,111,227,20,528,86,463,648,663,623,176,561,96,679,220,983,3227,258,890,1,263,663,164,32
2020-10-01,42,760,479,620,3205,264,107,98,78,2080,1858,140,407,135,1635,919,352,524,534,436,331,12,678,340,1137,531,178,939,106,226,15,523,85,449,612,699,610,179,558,94,709,214,999,3190,259,913,3,268,669,173,27
2020-09-30,53,776,484,560,3267,268,104,95,72,2097,1896,147,390,137,1632,975,352,541,553,438,334,13,557,340,1137,556,170,956,89,215,14,479,80,452,605,689,628,170,539,103,729,212,969,3344,243,908,3,278,683,169,24
2020-09-29,49,773,491,540,3223,246,92,93,64,2174,1937,147,376,135,1535,942,270,589,578,444,344,8,557,340,1137,564,166,950,105,214,13,443,76,446,541,672,618,173,507,103,690,211,909,3251,195,958,5,278,646,172,22
2020-09-28,43,753,491,468,3160,263,75,90,60,2122,1849,148,353,135,1491,957,270,507,563,418,315,8,557,340,1137,601,158,897,105,224,16,421,66,451,543,681,579,191,481,94,753,209,832,3201,174,890,3,268,640,168,22
2020-09-27,43,741,452,483,3129,248,76,96,60,2103,1868,150,343,135,1486,910,343,538,557,408,328,11,558,340,1125,601,148,917,96,226,20,416,72,442,541,639,579,199,462,94,734,216,830,3217,184,868,2,259,571,169,22
