death_AK,deathConfirmed_AK,deathProbable_AK,death_AL,deathConfirmed_AL,deathProbable_AL,death_AR,deathConfirmed_AR,deathProbable_AR,death_AZ,deathConfirmed_AZ,deathProbable_AZ,death_CA,deathConfirmed_CA,deathProbable_CA,death_CO,deathConfirmed_CO,deathProbable_CO,death_CT,deathConfirmed_CT,deathProbable_CT,death_DC,deathConfirmed_DC,deathProbable_DC,death_DE,deathConfirmed_DE,deathProbable_DE,death_FL,deathConfirmed_FL,deathProbable_FL,death_GA,deathConfirmed_GA,deathProbable_GA,death_HI,deathConfirmed_HI,deathProbable_HI,death_IA,deathConfirmed_IA,deathProbable_IA,death_ID,deathConfirmed_ID,deathProbable_ID,death_IL,deathConfirmed_IL,deathProbable_IL,death_IN,deathConfirmed_IN,deathProbable_IN,death_KS,deathConfirmed_KS,deathProbable_KS,death_KY,deathConfirmed_KY,deathProbable_KY,death_LA,deathConfirmed_LA,deathProbable_LA,death_MA,deathConfirmed_MA,deathProbable_MA,death_MD,deathConfirmed_MD,deathProbable_MD,death_ME,deathConfirmed_ME,deathProbable_ME,death_MI,deathConfirmed_MI,deathProbable_MI,death_MN,deathConfirmed_MN,deathProbable_MN,death_MO,deathConfirmed_MO,deathProbable_MO,death_MS,deathConfirmed_MS,deathProbable_MS,death_MT,deathConfirmed_MT,deathProbable_MT,death_NC,deathConfirmed_NC,deathProbable_NC,death_ND,deathConfirmed_ND,deathProbable_ND,death_NE,deathConfirmed_NE,deathProbable_NE,death_NH,deathConfirmed_NH,deathProbable_NH,death_NJ,deathConfirmed_NJ,deathProbable_NJ,death_NM,deathConfirmed_NM,deathProbable_NM,death_NV,deathConfirmed_NV,deathProbable_NV,death_NY,deathConfirmed_NY,deathProbable_NY,death_OH,deathConfirmed_OH,deathProbable_OH,death_OK,deathConfirmed_OK,deathProbable_OK,death_OR,deathConfirmed_OR,deathProbable_OR,death_PA,deathConfirmed_PA,deathProbable_PA,death_RI,deathConfirmed_RI,deathProbable_RI,death_SC,deathConfirmed_SC,deathProbable_SC,death_SD,deathConfirmed_SD,deathProbable_SD,death_TN,deathConfirmed_TN,deathProbable_TN,death_TX,deathConfirmed_TX,deathProbable_TX,death_UT,deathConfirmed_UT,deathProbable_UT,death_VA,deathConfirmed_VA,deathProbable_VA,death_VT,deathConfirmed_VT,deathProbable_VT,death_WA,deathConfirmed_WA,deathProbable_WA,death_WI,deathConfirmed_WI,deathProbable_WI,death_WV,deathConfirmed_WV,deathProbable_WV,death_WY,deathConfirmed_WY,deathProbable_WY,date
101,101,0,3451,3148,303,2321,2125,196,6427,5961,466,18557,18557,0,2355,2355,0,4828,3878,950,669,669,0,746,655,91,18110,18110,0,9142,8591,551,224,224,0,2133,2133,0,835,769,66,11795,11304,491,5206,4952,254,1410,1410,0,1762,1720,42,6233,5985,248,10469,10238,231,4398,4245,153,173,172,1,8774,8377,397,3146,3093,53,3537,3537,0,3642,3215,427,567,567,0,4979,4854,125,673,667,6,854,854,0,507,507,0,16712,14900,1812,1325,1325,0,1982,1982,0,33696,26292,7404,5955,5578,377,1603,1603,0,812,812,0,9689,9689,0,1294,1294,0,4231,3949,282,741,741,0,4202,3872,330,20296,20296,0,773,773,0,3912,3605,307,62,62,,2603,2603,0,3091,2954,137,639,609,30,176,176,0,11/20/2020
101,101,0,3419,3123,296,2297,2105,192,6384,5919,465,18466,18466,0,2350,2350,0,4805,3862,943,667,667,0,742,652,90,18030,18030,0,9102,8569,533,223,223,0,2106,2106,0,812,746,66,11648,11178,470,5143,4889,254,1326,1326,0,1742,1701,41,6199,5951,248,10435,10204,231,4372,4220,152,171,170,1,8717,8324,393,3082,3029,53,3507,3507,0,3619,3195,424,561,561,0,4936,4814,122,656,650,6,826,826,0,506,506,0,16689,14877,1812,1302,1302,0,1953,1953,0,33648,26257,7391,5890,5522,368,1588,1588,0,808,808,0,9581,9581,0,1288,1288,0,4201,3924,277,705,705,0,4128,3810,318,20113,20113,0,756,756,0,3896,3594,302,61,61,0,2592,2592,0,3010,2876,134,623,594,29,176,176,0,11/19/2020
100,100,0,3347,3073,274,2275,2085,190,6365,5902,463,18360,18360,0,2324,2324,0,4784,3849,935,665,665,0,742,652,90,17949,17949,0,9065,8536,529,223,223,0,2066,2066,0,798,733,65,11468,11014,454,5084,4830,254,1326,1326,0,1712,1674,38,6184,5939,245,10407,10177,230,4351,4201,150,170,169,1,8573,8190,383,3014,2961,53,3477,3477,0,3601,3180,421,561,561,0,4898,4780,118,642,636,6,816,816,0,504,504,0,16655,14843,1812,1290,1290,0,1947,1947,0,33607,26225,7382,5827,5462,365,1570,1570,0,788,788,0,9465,9465,0,1284,1284,0,4182,3906,276,674,674,0,4048,3749,299,19883,19883,0,740,740,0,3860,3569,291,60,60,0,2571,2571,0,2925,2793,132,612,585,27,155,155,0,11/18/2020
100,100,0,3301,3040,261,2245,2057,188,6312,5855,457,18299,18299,0,2299,2299,0,4771,3839,932,660,660,0,739,649,90,17861,17861,0,9008,8496,512,222,222,0,2027,2027,0,763,703,60,11317,10875,442,5025,4770,255,1266,1266,0,1697,1659,38,6156,5916,240,10360,10130,230,4335,4186,149,166,165,1,8511,8128,383,2951,2898,53,3453,3453,0,3581,3168,413,543,543,0,4852,4738,114,621,615,6,797,797,0,502,502,0,16618,14817,1801,1264,1264,0,1944,1944,0,33576,26189,7387,5772,5412,360,1544,1544,0,778,778,0,9355,9355,0,1278,1278,0,4156,3884,272,644,644,0,3995,3705,290,19696,19696,0,732,732,0,3835,3557,278,59,59,0,2548,2548,0,2867,2741,126,598,571,27,155,155,0,11/17/2020
98,98,0,3249,3001,248,2225,2038,187,6302,5846,456,18263,18263,0,2276,2276,0,4759,3827,932,660,660,0,736,646,90,17775,17775,0,8967,8471,496,222,222,0,1991,1991,0,759,700,59,11204,10779,425,4936,4686,250,1266,1266,0,1664,1627,37,6139,5902,237,10340,10110,230,4309,4160,149,165,164,1,8431,8049,382,2926,2873,53,3386,3386,0,3545,3138,407,522,522,0,4814,4704,110,595,589,6,779,779,0,500,500,0,16580,14779,1801,1236,1236,0,1917,1917,0,33540,26159,7381,5742,5387,355,1538,1538,0,765,765,0,9325,9325,0,1270,1270,0,4143,3873,270,644,644,0,3923,3645,278,19579,19579,0,723,723,0,3806,3533,273,59,59,0,2519,2519,0,2764,2649,115,585,562,23,144,144,0,11/16/2020
98,98,0,3248,3000,248,2183,2000,183,6302,5846,456,18253,18253,0,2234,2234,0,4737,3807,930,660,660,0,736,646,90,17734,17734,0,8957,8462,495,222,222,0,1985,1985,0,759,700,59,11162,10742,420,4910,4660,250,1256,1256,0,1661,1624,37,6132,5895,237,10329,10098,231,4302,4153,149,165,164,1,8376,7994,382,2914,2861,53,3374,3374,0,3543,3137,406,520,520,0,4806,4696,110,570,564,6,779,779,0,499,499,0,16566,14765,1801,1215,1215,0,1909,1909,0,33508,26133,7375,5722,5373,349,1528,1528,0,761,761,0,9312,9312,0,1265,1265,0,4112,3846,266,644,644,0,3893,3620,273,19559,19559,0,718,718,0,3800,3527,273,59,59,0,2519,2519,0,2751,2637,114,582,560,22,144,144,0,11/15/2020
98,98,0,3246,2998,248,2148,1968,180,6300,5845,455,18218,18218,0,2234,2234,0,4737,3807,930,658,658,0,736,646,90,17704,17704,0,8956,8462,494,222,222,0,1972,1972,0,752,695,57,11088,10670,418,4888,4638,250,1256,1256,0,1658,1621,37,6121,5885,236,10293,10065,228,4293,4144,149,163,162,1,8376,7994,382,2889,2836,53,3373,3373,0,3540,3134,406,514,514,0,4756,4651,105,570,564,6,775,775,0,499,499,0,16548,14747,1801,1208,1208,0,1908,1908,0,33477,26103,7374,5714,5367,347,1516,1516,0,759,759,0,9274,9274,0,1257,1257,0,4110,3844,266,621,621,0,3877,3604,273,19470,19470,0,710,710,0,3799,3526,273,59,59,0,2519,2519,0,2739,2625,114,574,554,20,144,144,0,11/14/2020
96,96,0,3231,2989,242,2148,1968,180,6257,5806,451,18137,18137,0,2234,2234,0,4737,3807,930,657,657,0,734,644,90,17659,17659,0,8905,8418,487,222,222,0,1948,1948,0,749,692,57,10891,10504,387,4863,4613,250,1256,1256,0,1647,1611,36,6121,5885,236,10265,10038,227,4273,4124,149,162,161,1,8308,7929,379,2855,2802,53,3359,3359,0,3519,3122,397,477,477,0,4720,4619,101,570,564,6,756,756,0,498,498,0,16522,14721,1801,1198,1198,0,1893,1893,0,33452,26079,7373,5700,5354,346,1493,1493,0,753,753,0,9224,9224,0,1254,1254,0,4101,3835,266,568,568,0,3852,3583,269,19320,19320,0,701,701,0,3785,3513,272,59,59,0,2507,2507,0,2683,2573,110,565,545,20,127,127,0,11/13/2020
96,96,0,3213,2970,243,2144,1964,180,6240,5793,447,18108,18108,0,2234,2234,0,4726,3798,928,657,657,0,732,642,90,17585,17585,0,8881,8403,478,222,222,0,1930,1930,0,733,676,57,10846,10477,369,4813,4563,250,1215,1215,0,1622,1589,33,6097,5863,234,10242,10015,227,4261,4112,149,159,158,1,8185,7811,374,2809,2756,53,3339,3339,0,3514,3118,396,472,472,0,4706,4606,100,553,547,6,731,731,0,495,495,0,16495,14694,1801,1176,1176,0,1880,1880,0,33424,26055,7369,5658,5316,342,1481,1481,0,746,746,0,9194,9194,0,1250,1250,0,4084,3817,267,567,567,0,3788,3531,257,19147,19147,0,687,687,0,3758,3490,268,59,59,0,2482,2482,0,2621,2515,106,555,535,20,127,127,0,11/12/2020
96,96,0,3201,2958,243,2126,1947,179,6228,5786,442,18070,18070,0,2201,2201,0,4716,3791,925,657,657,0,724,637,87,17512,17512,0,8806,8333,473,222,222,0,1899,1899,0,714,660,54,10798,10434,364,4762,4512,250,1215,1215,0,1604,1574,30,6058,5829,229,10222,9994,228,4249,4100,149,158,157,1,8136,7766,370,2773,2720,53,3323,3323,0,3497,3108,389,472,472,0,4698,4598,100,519,514,5,730,730,0,492,492,0,16476,14676,1800,1158,1158,0,1877,1877,0,33398,26026,7372,5623,5285,338,1470,1470,0,742,742,0,9145,9145,0,1243,1243,0,4076,3809,267,567,567,0,3761,3514,247,19004,19004,0,678,678,0,3741,3474,267,59,59,0,2482,2482,0,2554,2457,97,553,532,21,127,127,0,11/11/2020
