date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2020-11-20,127,1329,928,1835,5497,1723,848,126,170,3439,2139,77,1447,389,6111,3077,1048,1544,972,904,1207,90,3887,1784,2734,965,506,1571,395,983,108,2505,808,1283,2348,3936,1428,458,3162,288,808,574,2260,8164,554,1510,22,715,2076,402,219
2020-11-19,139,1315,891,1796,5319,1593,840,127,165,3380,2142,77,1516,389,6037,3063,1039,1550,929,917,1192,88,3824,1751,2588,926,482,1538,387,961,98,2471,774,1288,2276,3829,1381,497,2952,298,815,578,2236,7982,553,1569,18,651,2104,415,209
2020-11-18,147,1303,893,1700,5078,1593,816,127,153,3352,2091,82,1527,376,5953,3040,1039,1553,886,885,1144,85,3792,1706,2453,948,463,1537,384,978,91,2446,776,1246,2202,3716,1434,484,2904,284,830,593,2209,7958,564,1469,18,631,2217,429,210
2020-11-17,136,1289,902,1624,4885,1543,777,112,153,3369,2102,83,1510,376,5887,2951,551,1521,874,835,1046,73,3752,1669,2454,868,456,1501,399,938,77,2320,754,1159,2124,3648,1381,445,2737,265,800,582,2138,7841,537,1392,17,586,2278,400,204
2020-11-16,143,1262,861,1557,4559,1424,757,101,141,3243,2070,78,1392,395,5581,2768,551,1442,818,781,985,69,3580,1558,2525,807,453,1424,400,914,74,2115,738,1157,1968,3387,1247,413,2575,256,769,560,1999,7468,519,1337,20,572,2278,383,191
2020-11-15,141,1195,830,1506,4454,1417,659,104,81,3118,1978,78,1279,395,5474,2628,811,1378,753,737,938,67,3241,1424,2462,756,435,1395,400,889,69,2004,506,1025,1845,3175,1247,356,2440,256,752,553,1972,7274,502,1284,20,569,2097,365,189
2020-11-14,125,1120,799,1470,4212,1325,659,113,132,3151,2050,63,1261,395,5415,2634,811,1378,692,705,921,67,3241,1424,2447,778,435,1425,425,918,68,2000,480,1025,1788,3104,1247,356,2374,258,781,549,2083,7151,507,1312,21,608,2034,344,202
2020-11-13,113,1177,826,1381,4138,1315,659,115,130,3129,2037,69,1227,395,5362,2548,811,1358,692,687,914,66,3241,1424,2328,767,492,1423,421,905,69,1909,455,985,1737,2981,1279,356,2314,250,775,556,2019,7083,492,1296,24,550,2045,339,195
2020-11-12,113,1233,805,1368,4002,1322,617,109,126,3062,2045,73,1208,361,5258,2569,810,1311,676,661,863,62,3209,1329,2248,774,499,1279,399,885,69,1827,471,941,1677,3024,1248,342,2196,232,810,551,1973,6925,484,1313,22,495,2077,306,192
2020-11-11,117,1210,801,1360,3987,1304,584,112,126,3056,2002,77,1190,288,5042,2544,810,1189,684,659,805,49,3093,1299,2157,756,500,1246,411,860,69,1801,481,950,1628,2880,1248,345,2080,220,780,543,1904,6779,466,1265,18,495,2102,277,178
